"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 06, 2017","3,689.27","3,695.79","3,700.94","3,664.94","-","0.14%"
"Sep 05, 2017","3,684.17","3,706.32","3,717.31","3,657.78","-","-1.00%"
"Sep 01, 2017","3,721.21","3,731.78","3,736.61","3,712.98","-","-0.08%"
"Aug 31, 2017","3,724.17","3,697.44","3,728.96","3,694.76","-","0.94%"
"Aug 30, 2017","3,689.45","3,659.74","3,691.64","3,653.32","-","1.00%"
"Aug 29, 2017","3,653.05","3,599.66","3,658.96","3,599.52","-","0.46%"
"Aug 28, 2017","3,636.24","3,636.49","3,643.36","3,622.76","-","0.24%"
"Aug 25, 2017","3,627.63","3,647.63","3,655.92","3,621.31","-","-0.18%"
"Aug 24, 2017","3,634.33","3,651.31","3,655.93","3,613.82","-","-0.26%"
"Aug 23, 2017","3,643.67","3,625.62","3,652.06","3,625.62","-","-0.06%"
"Aug 22, 2017","3,645.95","3,614.99","3,649.00","3,611.26","-","1.44%"
"Aug 21, 2017","3,594.03","3,603.42","3,608.75","3,568.95","-","-0.23%"
"Aug 18, 2017","3,602.32","3,606.55","3,627.31","3,583.81","-","0.05%"
"Aug 17, 2017","3,600.68","3,660.20","3,668.89","3,600.68","-","-1.97%"
"Aug 16, 2017","3,673.15","3,674.74","3,691.65","3,660.79","-","0.19%"
"Aug 15, 2017","3,666.31","3,667.89","3,672.77","3,652.22","-","0.13%"
"Aug 14, 2017","3,661.46","3,637.50","3,666.43","3,635.94","-","1.65%"
"Aug 11, 2017","3,602.02","3,570.57","3,611.68","3,570.57","-","0.84%"
"Aug 10, 2017","3,571.91","3,633.92","3,640.05","3,568.13","-","-2.48%"
"Aug 09, 2017","3,662.73","3,638.40","3,663.84","3,631.19","-","-0.01%"
"Aug 08, 2017","3,663.11","3,655.12","3,694.94","3,650.60","-","0.04%"
"Aug 07, 2017","3,661.73","3,641.56","3,662.43","3,636.62","-","0.81%"
"Aug 04, 2017","3,632.43","3,630.15","3,645.87","3,623.74","-","0.25%"
"Aug 03, 2017","3,623.27","3,635.56","3,637.73","3,611.74","-","-0.39%"
