"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 12, 2018","6,060.6","6,056.8","6,073.8","6,045.2","-","0.42%"
"Mar 09, 2018","6,035.4","5,980.9","6,035.5","5,969.9","-","1.53%"
"Mar 08, 2018","5,944.7","5,938.4","5,949.9","5,923.6","-","0.39%"
"Mar 07, 2018","5,921.5","5,872.4","5,929.0","5,870.1","-","-0.15%"
"Mar 06, 2018","5,930.6","5,918.1","5,931.1","5,879.3","-","0.66%"
"Mar 05, 2018","5,891.9","5,806.3","5,902.3","5,786.6","-","1.02%"
"Mar 02, 2018","5,832.4","5,727.7","5,839.0","5,714.2","-","0.70%"
"Mar 01, 2018","5,791.7","5,841.7","5,873.9","5,733.3","-","-0.96%"
"Feb 28, 2018","5,847.7","5,916.5","5,926.0","5,847.7","-","-0.38%"
"Feb 27, 2018","5,869.8","5,950.6","5,955.7","5,869.8","-","-1.59%"
"Feb 26, 2018","5,964.4","5,946.9","5,964.4","5,930.0","-","0.81%"
"Feb 23, 2018","5,916.7","5,869.0","5,916.7","5,839.1","-","1.41%"
"Feb 22, 2018","5,834.4","5,861.8","5,881.0","5,820.8","-","0.06%"
"Feb 21, 2018","5,830.7","5,863.3","5,917.4","5,830.1","-","-0.10%"
"Feb 20, 2018","5,836.8","5,835.4","5,890.9","5,812.0","-","-0.31%"
"Feb 16, 2018","5,854.8","5,856.8","5,893.9","5,840.6","-","-0.32%"
"Feb 15, 2018","5,873.5","5,831.4","5,873.6","5,780.9","-","1.39%"
"Feb 14, 2018","5,792.8","5,680.0","5,801.4","5,672.6","-","1.61%"
"Feb 13, 2018","5,700.9","5,637.4","5,713.6","5,634.8","-","0.67%"
"Feb 12, 2018","5,662.7","5,635.6","5,692.6","5,580.6","-","1.47%"
"Feb 09, 2018","5,580.5","5,609.9","5,632.1","5,396.2","-","0.39%"
"Feb 08, 2018","5,558.9","5,791.6","5,797.6","5,558.6","-","-3.80%"
"Feb 07, 2018","5,778.3","5,794.3","5,870.3","5,777.5","-","-0.53%"
"Feb 06, 2018","5,809.1","5,603.2","5,821.0","5,587.3","-","1.59%"
"Feb 05, 2018","5,718.0","5,858.6","5,941.2","5,682.9","-","-3.32%"
"Feb 02, 2018","5,914.2","6,006.6","6,034.8","5,900.8","-","-0.82%"
"Feb 01, 2018","5,962.9","5,987.1","6,036.3","5,956.9","-","-1.14%"
"Jan 31, 2018","6,031.4","6,059.7","6,075.5","6,021.8","-","0.09%"
"Jan 30, 2018","6,025.9","5,996.1","6,034.5","5,985.5","-","-0.31%"
"Jan 29, 2018","6,044.5","6,048.6","6,076.3","6,031.0","-","-0.28%"
"Jan 26, 2018","6,061.7","6,022.2","6,061.7","6,002.0","-","0.96%"
"Jan 25, 2018","6,004.0","6,013.2","6,022.0","5,976.0","-","0.32%"
"Jan 24, 2018","5,984.6","6,014.8","6,028.0","5,940.8","-","-0.01%"
"Jan 23, 2018","5,984.9","5,959.0","5,988.8","5,955.3","-","0.76%"
"Jan 22, 2018","5,940.0","5,883.0","5,940.0","5,877.2","-","0.98%"
"Jan 19, 2018","5,882.6","5,859.5","5,884.4","5,843.1","-","0.78%"
"Jan 18, 2018","5,837.2","5,838.2","5,852.2","5,825.4","-","-0.08%"
"Jan 17, 2018","5,841.9","5,833.7","5,858.3","5,807.9","-","0.62%"
"Jan 16, 2018","5,805.8","5,862.1","5,879.5","5,790.8","-","-0.40%"
"Jan 12, 2018","5,829.0","5,790.0","5,832.6","5,782.5","-","0.86%"
"Jan 11, 2018","5,779.5","5,716.3","5,779.5","5,715.2","-","1.34%"
"Jan 10, 2018","5,703.1","5,684.4","5,703.8","5,663.5","-","-0.11%"
"Jan 09, 2018","5,709.2","5,727.6","5,730.1","5,701.0","-","-0.05%"
"Jan 08, 2018","5,711.9","5,685.4","5,713.3","5,680.4","-","0.52%"
"Jan 05, 2018","5,682.3","5,653.2","5,682.3","5,641.8","-","0.88%"
"Jan 04, 2018","5,632.7","5,648.6","5,653.1","5,622.8","-","0.09%"
"Jan 03, 2018","5,627.9","5,601.2","5,630.7","5,601.1","-","0.77%"
"Jan 02, 2018","5,584.8","5,541.5","5,585.9","5,535.0","-","1.28%"
"Dec 29, 2017","5,514.0","5,549.9","5,552.2","5,514.0","-","-0.64%"
"Dec 28, 2017","5,549.5","5,546.8","5,550.3","5,531.1","-","0.25%"
"Dec 27, 2017","5,535.4","5,546.2","5,550.1","5,530.2","-","-0.09%"
"Dec 26, 2017","5,540.2","5,535.7","5,547.5","5,527.4","-","0.06%"
"Dec 22, 2017","5,537.0","5,542.0","5,543.2","5,530.4","-","-0.12%"
"Dec 21, 2017","5,543.9","5,523.1","5,557.7","5,517.0","-","0.51%"
"Dec 20, 2017","5,515.8","5,541.8","5,542.5","5,504.2","-","-0.14%"
