"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 12, 2018","8,322.5","8,318.3","8,393.3","8,217.4","-","0.95%"
"Feb 09, 2018","8,244.1","8,228.8","8,280.7","8,049.9","-","1.14%"
"Feb 08, 2018","8,150.8","8,446.2","8,461.7","8,150.8","-","-3.26%"
"Feb 07, 2018","8,425.7","8,386.1","8,507.4","8,375.5","-","0.15%"
"Feb 06, 2018","8,412.8","8,273.6","8,431.3","8,221.5","-","-0.01%"
"Feb 05, 2018","8,413.5","8,665.1","8,717.9","8,413.5","-","-3.57%"
"Feb 02, 2018","8,724.8","8,837.6","8,857.7","8,724.8","-","-1.48%"
"Feb 01, 2018","8,856.2","8,770.7","8,861.9","8,770.0","-","0.70%"
"Jan 31, 2018","8,794.5","8,821.5","8,842.7","8,776.9","-","-0.24%"
"Jan 30, 2018","8,815.6","8,880.4","8,932.0","8,813.1","-","-2.22%"
"Jan 29, 2018","9,015.3","9,042.8","9,064.9","9,011.4","-","-0.62%"
"Jan 26, 2018","9,071.7","9,041.7","9,074.3","9,009.1","-","0.69%"
"Jan 25, 2018","9,009.5","9,002.7","9,014.0","8,985.4","-","0.20%"
"Jan 24, 2018","8,991.1","9,016.5","9,031.0","8,973.5","-","-0.02%"
"Jan 23, 2018","8,992.7","8,901.2","9,014.4","8,885.0","-","0.80%"
"Jan 22, 2018","8,921.7","8,889.3","8,942.2","8,888.9","-","0.47%"
"Jan 19, 2018","8,880.4","8,816.4","8,883.3","8,809.0","-","0.72%"
"Jan 18, 2018","8,816.8","8,857.1","8,861.5","8,812.2","-","-0.52%"
"Jan 17, 2018","8,863.1","8,808.8","8,879.9","8,794.8","-","1.11%"
"Jan 16, 2018","8,765.5","8,853.8","8,881.3","8,751.4","-","-0.96%"
"Jan 12, 2018","8,850.8","8,800.5","8,855.8","8,778.3","-","0.70%"
"Jan 11, 2018","8,789.3","8,728.5","8,795.9","8,721.0","-","1.00%"
"Jan 10, 2018","8,702.2","8,643.4","8,737.8","8,627.6","-","1.04%"
"Jan 09, 2018","8,612.5","8,626.6","8,684.7","8,611.3","-","0.00%"
"Jan 08, 2018","8,612.5","8,626.6","8,629.7","8,589.2","-","-0.39%"
"Jan 05, 2018","8,646.1","8,625.3","8,649.1","8,602.7","-","0.53%"
"Jan 04, 2018","8,600.1","8,543.5","8,625.4","8,543.4","-","0.85%"
"Jan 03, 2018","8,528.0","8,481.0","8,529.4","8,480.3","-","0.39%"
"Jan 02, 2018","8,494.8","8,652.3","8,652.4","8,479.7","-","-1.45%"
"Dec 29, 2017","8,619.4","8,677.6","8,677.6","8,617.5","-","-0.48%"
"Dec 28, 2017","8,661.0","8,617.8","8,663.1","8,605.2","-","0.40%"
"Dec 27, 2017","8,626.3","8,640.0","8,660.7","8,618.0","-","-0.04%"
"Dec 26, 2017","8,629.6","8,631.1","8,672.1","8,616.2","-","0.07%"
"Dec 22, 2017","8,623.9","8,651.8","8,657.9","8,606.0","-","-0.11%"
